"Nom";"Nom latin";" Description";"native from";"type";"Genus";"Family";"leaf color";"the common use";"flowerin in";"Tree or plant"
"Glossy abelia";"Abelia x grandiflora";"Broadleaf evergreen shrub, arching, 90cm to 1.8m tall, equal width. Leaves simple, opposite, 2.5cm to 4cm long, glossy dark green turning bronze-reddish in winter ";"USA (oregon)";"Broadleaf";"Abelia";"Caprifoliaceae";"dark green";"edge of garden";"Summer";"plant"
"White Forsythia";"Abeliophyllum distichum";"Deciduous shrub, 1m to 1.5 m high and nearly equal width, rounded in outline with arching branches, often straggly. Leaves opposite, simple, entire, 5 to 9 cm long, spreading in two ranks, ovate to elliptic-ovate. Flowers perfect, white or tinged with pink, 4-petaled";"Korea (central)";"Broadleaf";"Abeliophyllum";"Oleaceae";"green";"Garden";"Winter";"plant"
"European Silver Fir";"Abies alba";"Conifer, evergreen tree, large,30m to 65 m high, stem straight, branches whorled and horizontal or slightly ascending. Bark smooth, with resin blisters, gray, square-plated when mature.  Needles regularly spaced. Needle with 2 white stomatal lines on the underside.";"Europe (southern and central)";"Conifer";"Abies";"Pinaceae";"dark green (silverish view from below)";"Christmas tree";"no flower";"tree"
"Pineapple Guava";"Acca sellowiana";"Evergreen shrub or small tree, to about 6 m high and somewhat less in width, branches tomentose.  Leaves simple, opposite, elliptical to ovate, 3-8 cm long and 2-4 cm wide, glossy dark green above, silvery-white tomentose below.   Flowers single, 3-4 cm wide, 4 whitish petals with red centers.";"South america";"Broadleaf";"Acca";"Myrtaceae";"dark green";"Edge of garden";"Summer";"plant"
"Trident Maple";"Acer buergerianum";"Deciduous tree, 6 to 11+ m high, oval to rounded outline.  Bark gray-brown with orange, exfoliating, scaly.  Leaves opposite, simple, 4-9 cm long and wide, 3-lobed, 3 major veins ,dark green, fall color yellow, orange and red.  Small greenish yellow flowers are hardly noticeable.";"China(eastern) and Korea";"Broadleaf";"Acer";"Actinidiaceae";"dark green";"Street";"Summer";"tree"
"Kolomikta Actinidia";"Actinidia kolomikta";"Deciduous vine, 4.5m to 6 m high.  Leaves alternate, simple, broad-ovate, purplish when young, developing to pink and white.  Dioecious, i.e., male and female plants, male plants reportedly have better variegations.   Male flowers small, 12 mm across, white with yellow stamens.";"Asia(northeastern) and japan";"Broadleaf";"Actinidia";"Actinidiaceae";"green and pink";"Garden, and catnip";"Summer";"vine "
"African Baobab";"Adansonia digitata";"Deciduous tree, leafs out during the period of maximum heat just before the first rains arrive in a tropical environment.  It may grow to 20 m high, with a massive trunk that is cylindrical, bottle-shaped or irregular.  The top, divides into stiff upward-pointing branches.  Leaves simple (especially juvenile) with 5 to 9 leaflets, elliptic to ovate, dark glossy green.  Flowers often open before the leaves, they are white, large, on a long, hanging stalk, 20-90 cm long.  Fruits form up to six months after flowering, during the late dry season or early wet season.  They vary from spherical to oblong and slender to ovoid.  They become woody and gourd-like color.";"Africa";"Broadleaf";"Adansonia";"Bombacaceae";"green";"wild";"Early dry seasons";"tree"
"Desert Rose";"Adenium obesum";"Thick-stemmed shrub, crooked branches, often evergreen in cultivation, but deciduous in dry seasons, in cultivation to about 1.5 m high.  Leaves simple crowded near stem tips, 5 to 15 cm long and about 0.6 cm wide.  Flowers showy, trumpet shaped, in small terminal clusters; red or pink, rarely white. ";"Arabia";"Broadleaf";"Adenium";"Apocynaceae";"green";"Garden";"Spring";"plant"
"Silver Broom";"Adenocarpus decorticans";"Erect deciduous shrub, 2.2 to 3 m tall, horizontally branching. Leaves alternate, compound, 3-leaflets, each narrowly elliptic. Flowers bright yellow, in dense arching terminal clusters, blooms in late spring and early summer.";"Spain";"Broadleaf";"Adenocarpus";"Fabaceae";"green";"wild";"Spring ";"plant"
"Yellow Buckeye";"Aesculus flava";"Deciduous tree, oval to slightly spreading crown, often 18 to 23 m tall.  Leaves opposite to sub-opposite, 25 to 40 cm long, dark green.  Bark is dark brown and scaly rather than furrowed.  Twig buds are large and non-resinous.  Fall color may range from yellow to pale orange, some red.  Flowers are pale to dark yellow, 2.5 to 4 cm long, in clusters. ";"USA";"Broadleaf";"Aesculus";"Hippocastanaceae";"green";"wild";"Spring";"tree"
"Kauri";"Agathis australis";"Conifer evergreen tree, may reach 30 to 50 m high, large trunk, some 1m to 4 m in diameter and very cylindrical.  Branches are often in whorls and horizontal spreading. In large trees the first branch is often 15 m or more above the ground. Bark is blue-gray, thick, and shed in large plates. It is very resinous, produces a gum (amber) in large amounts.  Leaves alternate to opposite or nearly so. Plant usually monoecious, male and female cones on a single plant. ";"New Zealand";"Conifer";"Agathis";"Araucariaceae";"dark green";"wild";"no flower";"tree"
"Black-spinned Agave";"Agave macroacantha";"Broadleaf evergreen which forms dense clumps that are nearly 60cm tall and 1.5 m wide and made up of 25 to 40 cm wide rosettes.   The leaves are rigid, blue-gray to grayish-green, to 35 cm long and 3 cm wide.  When the plant begins to flower the central leaves turn reddish and a slender, dark red inflorescence emerges and it may grow to a height of 2 m. Flowers are small, gray, green and red. Reportedly plants flower at around 15 years of age after which that rosette dies.";"Mexico";"Broadleaf";"Agave";"Asparagaceae";"turquoise";"wild, Garden";"Around 15 years, when the rosette dies";"plant"
"Tree of Heaven";"Ailanthus altissima";"Broadleaf deciduous tree,12 to 18 m.  Bark is grayish and slightly roughened.  Leaves alternate, pinnately compound, large.  Dioecious - male and female trees, but some trees have both sexes and some flowers appear bisexual (have both male and female parts).  Flowers small, yellow-green,clusters; male flowers have a repulsive odor.  Fruit often bright orange-red then finally brown, persist into winter.";"China";"Broadleaf";"Ailanthus";"Simaroubaceae";"green";"Garden";"Summer";"tree"
"Five-leaf Akebia";"Akebia quinata";"Broadleaf deciduous evergreen in mild areas vine or ground cover, 6 to 12 m, monoecious.  Leaves alternate each about 4 to 7.5 cm long bluish green.  Female or bisexual flowers have chocolate-purple,  usually 2-5 flowers per cluster. Fruit white to purplish, 6 to 10 cm long, sausage-shaped.";"China, Korea and Japan";"Broadleaf";"Akebia ";"Lardizabalaceae";"green";"Garden";"Spring";"vine"
"Silk Tree";"Albizia julibrissin";"Deciduous tree, 6-9 m, fast growing, does not leaf out until very late in spring. Leaves alternate, large, up to 50 cm long. No fall color, leaves stay green until killed by frost. Showy pin-cushion-like flower clusters. Fruit a flat, thin pod, green then brown, persist into winter.";"Asia and Australia";"Broadleaf";"Albizia ";"Fabaceae";"green";"Garden";"Summer";"tree"
